Small, 74, 21, 23, 2
Small, 58, 10, 1, 20
Small, 32, 4, 25, 20
Small, 83, 25, 17, 14
Small, 91, 12, 5, 15
Medium, 464, 13, 22, 10
Medium, 842, 21, 15, 6
Medium, 705, 21, 13, 23
Medium, 236, 18, 4, 16
Medium, 345, 14, 24, 4
Medium, 255, 13, 11, 5
Medium, 273, 13, 11, 11
Medium, 130, 22, 8, 25
Medium, 376, 1, 4, 9
Medium, 924, 8, 4, 1
Medium, 827, 25, 3, 18
Medium, 214, 2, 18, 13
Medium, 468, 11, 10, 8
Medium, 329, 3, 8, 7
Medium, 181, 24, 5, 3
Medium, 613, 4, 14, 12
Medium, 473, 25, 14, 7
Medium, 537, 24, 7, 7
Medium, 833, 2, 25, 19
Medium, 959, 7, 7, 23
Medium, 855, 20, 7, 2
Medium, 941, 14, 21, 23
Medium, 885, 18, 1, 22
Medium, 229, 18, 16, 19
Medium, 619, 21, 1, 18
Medium, 461, 3, 19, 18
Medium, 862, 16, 1, 3
Medium, 179, 10, 17, 4
Medium, 608, 22, 24, 6
Medium, 409, 5, 4, 16
Medium, 196, 9, 4, 4
Medium, 728, 6, 17, 1
Medium, 904, 3, 2, 11
Medium, 104, 2, 24, 4
Medium, 218, 25, 20, 13
Medium, 850, 8, 24, 24
Medium, 255, 22, 10, 14
Medium, 858, 21, 5, 3
Medium, 868, 5, 2, 10
Medium, 397, 11, 8, 3
Medium, 351, 2, 9, 9
Medium, 402, 13, 23, 18
Medium, 315, 18, 13, 4
Medium, 437, 3, 6, 22
Medium, 279, 4, 7, 24
Medium, 436, 6, 11, 9
Medium, 912, 13, 13, 6
Medium, 559, 25, 7, 12
Medium, 542, 18, 6, 22
Medium, 417, 1, 4, 20
Medium, 595, 17, 1, 6
Medium, 636, 18, 1, 4
Medium, 152, 22, 3, 8
Medium, 736, 13, 20, 19
Medium, 661, 13, 10, 22
Medium, 426, 16, 1, 24
Medium, 999, 5, 21, 1
Medium, 365, 2, 11, 17
Medium, 913, 13, 16, 1
Medium, 486, 14, 7, 21
Medium, 688, 13, 21, 23
Medium, 199, 20, 18, 15
Medium, 958, 9, 10, 8
Medium, 819, 2, 2, 25
Medium, 317, 8, 7, 22
Medium, 919, 13, 11, 23
Medium, 183, 17, 13, 22
Medium, 317, 7, 5, 10
Medium, 185, 20, 15, 6
Medium, 951, 11, 19, 10
Medium, 666, 7, 7, 17
Medium, 225, 10, 6, 23
Medium, 945, 23, 4, 11
Medium, 468, 14, 17, 24
Medium, 771, 3, 18, 6
Medium, 252, 25, 16, 15
Medium, 200, 13, 6, 5
Medium, 713, 2, 13, 10
Medium, 150, 9, 17, 16
Medium, 941, 13, 2, 10
Medium, 838, 25, 4, 6
Medium, 629, 9, 10, 22
Medium, 767, 18, 25, 16
Medium, 652, 14, 7, 1
Medium, 605, 19, 15, 6
Medium, 599, 17, 12, 17
Medium, 137, 16, 23, 16
Medium, 608, 11, 2, 21
Medium, 918, 21, 2, 3
Medium, 320, 18, 10, 24
Medium, 407, 23, 20, 3
Medium, 179, 14, 19, 9
Medium, 563, 18, 6, 24
Medium, 374, 7, 21, 25
Medium, 966, 21, 17, 1
Medium, 664, 25, 5, 7
Medium, 255, 14, 2, 19
Medium, 146, 18, 18, 6
Medium, 653, 14, 12, 24
Medium, 505, 23, 10, 5
Large, 3868, 4, 7, 23
Large, 6338, 15, 2, 21
Large, 1215, 9, 17, 10
Large, 4233, 6, 22, 25
Large, 9965, 25, 24, 17
Large, 7478, 9, 3, 9
Large, 8806, 17, 24, 14
Large, 1877, 23, 5, 21
Large, 4277, 11, 4, 19
Large, 5644, 11, 25, 3
Large, 1305, 8, 6, 23
Large, 2210, 19, 10, 20
Large, 8779, 23, 14, 22
Large, 9882, 4, 25, 18
Large, 3677, 21, 25, 15
Large, 7183, 6, 25, 14
Large, 5750, 17, 11, 11
Large, 5441, 18, 16, 3
Large, 4683, 10, 24, 7
Large, 1492, 11, 9, 23
Large, 1280, 6, 9, 14
Large, 3085, 25, 11, 24
Large, 6881, 13, 13, 18
Large, 9723, 15, 13, 24
Large, 9373, 2, 8, 23
Large, 6627, 4, 10, 2
Large, 9788, 17, 22, 16
Large, 5010, 23, 22, 7
Large, 2528, 22, 21, 17
Large, 5350, 3, 4, 18
Large, 1287, 2, 22, 14
Large, 2229, 9, 18, 7
Large, 9112, 17, 14, 23
Large, 1714, 20, 4, 12
Large, 4781, 11, 12, 8
Large, 7325, 5, 9, 21
Large, 4182, 5, 2, 22
Large, 7529, 9, 8, 13
Large, 1282, 16, 23, 15
Large, 4048, 20, 4, 13
Large, 2067, 11, 25, 17
Large, 4578, 6, 24, 5
Large, 2929, 18, 22, 8
Large, 9943, 13, 3, 3
Large, 9744, 24, 8, 13
Large, 8360, 10, 1, 10
Large, 2664, 5, 11, 19
Large, 3728, 2, 15, 10
Large, 3330, 7, 18, 23
Large, 7890, 14, 9, 4
Large, 8068, 16, 3, 18
Large, 3124, 3, 12, 2
Large, 9041, 23, 15, 11
Large, 4171, 13, 13, 16
Large, 9745, 21, 22, 5
Large, 1420, 22, 18, 17
Large, 4153, 20, 21, 17
Large, 7672, 8, 6, 9
Large, 3356, 12, 17, 17
Large, 6359, 25, 17, 14
Large, 7354, 19, 14, 25
Large, 2885, 16, 6, 13
Large, 6675, 4, 14, 1
Large, 1040, 6, 6, 22
Large, 4850, 3, 10, 9
Large, 4491, 6, 12, 16
Large, 8869, 7, 10, 9
Large, 3440, 25, 1, 15
Large, 8421, 1, 14, 12
Large, 7068, 19, 14, 21
Large, 1677, 1, 12, 21
Large, 3668, 12, 23, 25
Large, 8805, 16, 18, 3
Large, 2287, 17, 7, 6
Large, 7966, 21, 25, 14
Large, 6788, 12, 16, 1
Large, 1964, 4, 15, 20
Large, 6058, 10, 5, 9
Large, 1271, 22, 5, 14
Large, 7702, 24, 3, 1
Large, 3808, 22, 5, 23
Large, 3401, 25, 2, 14
Large, 7569, 19, 22, 7
Large, 4881, 22, 15, 13
Large, 8151, 10, 18, 7
Large, 1907, 7, 8, 8
Large, 3616, 16, 20, 15
Large, 8791, 22, 12, 19
Large, 7940, 15, 12, 6
Large, 9602, 4, 21, 21
Large, 1984, 8, 8, 2
Large, 6632, 21, 1, 9
Large, 5231, 21, 1, 3
Large, 1609, 17, 5, 23
Large, 8915, 15, 14, 21
Large, 1553, 19, 14, 2
Large, 4611, 18, 10, 21
Large, 7608, 22, 5, 24
Large, 5568, 6, 20, 4
Large, 4678, 14, 22, 25
