Medium, 287, 24, 20
Medium, 639, 22, 9
Medium, 735, 21, 10
Medium, 522, 9, 23
Medium, 682, 10, 25
Medium, 405, 13, 16
Medium, 855, 22, 21
Medium, 884, 18, 23
Medium, 939, 22, 13
Medium, 636, 2, 14
Medium, 296, 24, 21
Medium, 105, 16, 21
Medium, 760, 1, 19
Medium, 779, 19, 10
Medium, 520, 10, 22
Medium, 760, 2, 6
Medium, 965, 16, 5
Medium, 654, 8, 23
Medium, 359, 3, 7
Medium, 332, 2, 15
Medium, 890, 1, 21
Medium, 662, 24, 2
Medium, 562, 8, 22
Medium, 927, 7, 23
Medium, 692, 2, 8
Medium, 661, 6, 16
Medium, 239, 17, 14
Medium, 946, 12, 6
Medium, 514, 13, 5
Medium, 556, 15, 20
Medium, 450, 6, 12
Medium, 992, 11, 12
Medium, 781, 22, 3
Medium, 149, 8, 21
Medium, 283, 14, 21
Medium, 745, 11, 13
Medium, 402, 19, 16
Medium, 996, 15, 17
Medium, 405, 9, 8
Medium, 946, 22, 9
Medium, 537, 3, 2
Medium, 448, 21, 5
Medium, 715, 13, 8
Medium, 685, 20, 25
Medium, 658, 16, 25
Medium, 597, 8, 11
Medium, 396, 19, 24
Medium, 649, 10, 14
Medium, 596, 6, 25
Medium, 380, 1, 9
Medium, 309, 11, 22
Medium, 851, 5, 1
Medium, 967, 7, 2
Medium, 964, 9, 11
Medium, 253, 5, 4
Medium, 492, 7, 15
Medium, 662, 7, 25
Medium, 855, 13, 15
Medium, 108, 8, 24
Medium, 836, 15, 13
Medium, 227, 15, 21
Medium, 279, 7, 9
Medium, 682, 22, 8
Medium, 613, 12, 20
Medium, 495, 6, 11
Medium, 377, 18, 17
Medium, 306, 14, 8
Medium, 405, 3, 1
Medium, 914, 25, 18
Medium, 472, 3, 21
Medium, 426, 22, 17
Medium, 965, 25, 16
Medium, 331, 3, 15
Medium, 504, 20, 21
Medium, 858, 18, 2
Medium, 430, 11, 12
Medium, 724, 23, 22
Medium, 349, 6, 9
Medium, 847, 7, 3
Medium, 886, 25, 24
Medium, 403, 3, 21
Medium, 672, 18, 13
Medium, 260, 24, 6
Medium, 530, 17, 21
Medium, 948, 16, 18
Medium, 962, 4, 9
Medium, 623, 6, 3
Medium, 315, 12, 15
Medium, 655, 4, 15
Medium, 399, 8, 23
Medium, 500, 16, 4
Medium, 691, 18, 16
Medium, 656, 4, 8
Medium, 947, 17, 10
Medium, 420, 19, 11
Medium, 525, 14, 18
Medium, 510, 2, 17
Large, 4821, 3, 8
Large, 1846, 3, 11
Large, 7583, 23, 1
Large, 2549, 25, 1
Large, 2491, 16, 13
Large, 3751, 21, 23
Large, 3426, 22, 8
Large, 1788, 16, 16
Large, 5084, 18, 17
Large, 3714, 10, 8
Large, 6620, 4, 12
Large, 6855, 3, 10
Large, 7670, 3, 3
Large, 2896, 17, 24
Large, 6366, 17, 1
Large, 7190, 17, 8
Large, 7030, 13, 19
Large, 1690, 16, 2
Large, 4026, 4, 20
Large, 6272, 22, 2
Large, 5843, 1, 2
Large, 6339, 24, 21
Large, 2646, 11, 25
Large, 5229, 4, 13
Large, 4407, 14, 23
Large, 8421, 7, 8
Large, 7143, 7, 18
Large, 3767, 5, 15
Large, 6000, 18, 12
Large, 9298, 13, 20
Large, 9284, 2, 7
Large, 7754, 11, 11
Large, 8899, 19, 1
Large, 4194, 19, 17
Large, 6280, 11, 11
Large, 5817, 4, 25
Large, 5986, 20, 19
Large, 6013, 8, 25
Large, 4114, 3, 1
Large, 7606, 24, 11
Large, 1896, 13, 5
Large, 6736, 9, 17
Large, 6741, 18, 11
Large, 9181, 17, 13
Large, 6739, 9, 17
Large, 1736, 6, 15
Large, 2460, 11, 3
Large, 9183, 6, 6
Large, 5485, 1, 18
Large, 6807, 24, 6
Large, 6847, 4, 10
Large, 6059, 20, 18
Large, 6113, 8, 2
Large, 5777, 19, 23
Large, 5431, 18, 5
Large, 1012, 18, 25
Large, 1949, 1, 10
Large, 8603, 24, 11
Large, 9884, 23, 4
Large, 6795, 24, 11
Large, 2042, 17, 4
Large, 3976, 24, 16
Large, 8102, 22, 5
Large, 1679, 20, 13
Large, 7021, 13, 19
Large, 4456, 15, 17
Large, 1838, 6, 8
Large, 8052, 15, 22
Large, 9305, 13, 20
Large, 2874, 22, 14
Large, 6963, 25, 20
Large, 5864, 12, 25
Large, 1258, 24, 12
Large, 4791, 8, 6
Large, 4078, 19, 14
Large, 7690, 24, 23
Large, 7238, 25, 3
Large, 8919, 18, 2
Large, 5115, 15, 13
Large, 1073, 4, 4
Large, 2178, 10, 3
Large, 2866, 7, 4
Large, 4502, 10, 17
Large, 4540, 14, 25
Large, 3541, 20, 21
Large, 5243, 11, 2
Large, 4550, 5, 20
Large, 2764, 10, 12
Large, 9301, 23, 8
Large, 1172, 1, 7
Large, 3403, 13, 11
Large, 4336, 18, 10
Large, 9300, 5, 11
Large, 2137, 5, 23
Large, 2500, 13, 13
Large, 1978, 21, 4
Large, 7313, 14, 24
Large, 3914, 7, 6
Large, 5984, 23, 3
Large, 9661, 22, 2
